"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"alluxio","v2.0.0-preview-RC1","alluxio.worker.block.BlockWorkerMetricsTest","43","5","1","7","20","0","yes","4","5","0","1","0","0","0","0","2","17","6","5","0","0","35","17","5","0","0","2","0","4","0","0","2","0","0","0","0","0","1","0","4"
"alluxio","v2.0.0-preview-RC1","alluxio.StreamCacheTest","79","7","1","5","14","6","no","0","4","0","0","3","0","0","0","0","9","0","17","1","0","32","17","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"alluxio","v2.0.0-preview-RC1","alluxio.client.cli.fsadmin.command.MetricsCommandIntegrationTest","21","2","2","3","11","1","yes","0","2","2","0","0","0","0","0","56","2","0","4","0","0","78","17","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"alluxio","v2.0.0-preview-RC1","alluxio.underfs.hdfs.HdfsUnderFileOutputStream","33","6","2","3","5","0","yes","1","6","0","0","0","0","0","0","0","0","0","1","0","0","50","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","6"
"alluxio","v2.0.0-preview-RC1","alluxio.master.metrics.MetricsMasterTest","67","7","1","13","22","7","yes","5","7","1","2","0","0","0","0","50","24","0","13","0","0","44","1","13","0","0","0","0","4","0","1","1","0","0","0","0","0","2","0","5"
"alluxio","v2.0.0-preview-RC1","alluxio.cli.fsadmin.report.CapacityCommandTest","113","7","1","7","28","9","yes","1","7","7","3","0","0","3","0","94","54","0","44","1","0","83","1","44","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","4"
"alluxio","v2.0.0-preview-RC1","alluxio.testutils.BaseIntegrationTest","44","1","1","6","5","0","no","2","1","0","1","0","0","0","0","0","0","0","2","0","0","52","1025","2","0","1","1","0","1","0","1","1","0","0","0","0","0","1","0","0"
"alluxio","v2.0.0-preview-RC1","alluxio.retry.CountingRetry","32","5","1","2","1","0","no","2","4","0","3","0","0","0","0","1","3","0","2","1","0","36","1","3","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","4"
"alluxio","v2.0.0-preview-RC1","alluxio.worker.block.allocator.MaxFreeAllocator","75","16","1","7","17","0","yes","1","4","0","3","3","2","0","1","3","1","1","7","3","0","82","17","14","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2"
"alluxio","v2.0.0-preview-RC1","alluxio.worker.block.meta.StorageTierView","47","5","1","2","5","2","yes","2","5","1","4","0","0","0","0","1","0","0","2","0","0","48","1025","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","5"
"alluxio","v2.0.0-preview-RC1","alluxio.metrics.MetricsConfig","88","16","1","3","24","0","no","2","7","3","3","2","0","1","0","4","3","1","11","3","0","72","17","13","0","0","1","0","2","0","0","1","0","0","0","0","0","2","0","5"
